rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,distribution,daily_change,return_1m,return_3m,momentum_6m,return_1y,momentum_acceleration,benchmark_return_1y,excess_return_1y,sharpe,max_drawdown,recovery_days,score,signal,status,data_source,data_date
1,機器人,台新SG全球AI機器人精選ETF基金,ACTT63,,BOTZ,否,0.65,-4.52,-2.37,23.26,36.92,-38.86,16.50,20.42,0.610,-15.41,,0.851,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,機器人,國泰納斯達克全球人工智慧及機器人基金,ACTR36,,BOTZ,否,0.52,-4.62,5.03,19.26,17.96,-8.42,9.87,8.09,0.250,-18.40,36.0,0.411,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
3,機器人,第一金全球AI機器人及自動化產業基金N類型(美元),ACNC89,,BOTZ,否,0.79,-8.67,-7.84,7.61,14.39,-29.48,2.02,12.37,0.190,-16.40,,0.300,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
