rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,distribution,daily_change,return_1m,return_3m,momentum_6m,return_1y,momentum_acceleration,benchmark_return_1y,excess_return_1y,sharpe,max_drawdown,recovery_days,score,signal,status,data_source,data_date
1,醫療,富蘭克林坦伯頓全球投資系列生技領航基金美元A(acc),FLZ81,,XLV,否,1.27,8.12,19.59,21.29,75.82,57.43,58.79,17.03,0.850,-9.17,14.0,1.266,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,醫療,百達-生物科技-I美元,PIC90,,XLV,否,2.68,6.26,20.03,20.38,70.38,62.65,58.79,11.59,0.830,-10.15,12.0,1.139,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
3,醫療,富蘭克林華美全球醫療保健基金(台幣),ACFT73-9209,,XLV,,0.97,2.78,13.09,15.22,40.32,30.81,17.48,22.84,0.590,-9.85,58.0,0.853,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
