rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,distribution,daily_change,return_1m,return_3m,momentum_6m,return_1y,momentum_acceleration,benchmark_return_1y,excess_return_1y,sharpe,max_drawdown,recovery_days,score,signal,status,data_source,data_date
1,磷化銦,路博邁台灣5G股票基金N月配型（磷化銦供應鏈）,ACNB46,,SOXX,是,-1.49,0.28,-11.66,38.85,145.91,-131.89,52.84,93.07,0.620,-36.07,,2.722,買進,已更新（合庫 MoneyDJ 網頁爬蟲）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-24
2,磷化銦,富邦台灣心基金（磷化銦供應鏈）,ACCT01,,SOXX,否,-1.56,8.61,-10.32,38.24,101.39,-126.42,45.29,56.10,0.530,-34.58,,1.890,買進,已更新（合庫 MoneyDJ 網頁爬蟲）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-24
3,磷化銦,群益店頭市場基金（磷化銦供應鏈）,AC0028,,SOXX,否,-1.34,6.82,-11.76,31.15,90.78,-111.38,38.32,52.46,0.450,-34.81,,1.660,買進,已更新（合庫 MoneyDJ 網頁爬蟲）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-24
