rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,distribution,daily_change,return_1m,return_3m,momentum_6m,return_1y,momentum_acceleration,benchmark_return_1y,excess_return_1y,sharpe,max_drawdown,recovery_days,score,signal,status,data_source,data_date
1,黃金,貝萊德世界黃金基金A2美元,SHZ18,,GLD,否,-0.59,-5.44,16.89,19.54,37.67,126.19,33.30,4.37,0.240,-36.68,,0.480,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,黃金,元大黃金期貨基金,ACKY38,,GLD,否,-0.10,-6.23,1.99,-6.28,23.11,18.98,0.59,22.52,0.240,-24.34,,0.320,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
3,黃金,元大標普高盛黃金ER指數期貨基金,ACYT63,,GLD,否,-0.06,-6.58,2.47,-7.66,10.34,30.16,-3.95,14.29,0.130,-26.76,,0.062,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
