rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,distribution,daily_change,return_1m,return_3m,momentum_6m,return_1y,momentum_acceleration,benchmark_return_1y,excess_return_1y,sharpe,max_drawdown,recovery_days,score,signal,status,data_source,data_date
1,東協,統一大東協高股息基金(台幣)(本基金並無保證收益及配息),ACPS53,,ASEA,是,0.69,1.76,-6.97,20.66,56.61,-49.00,23.08,33.53,0.610,-19.51,,1.132,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,東協,野村泰國基金,ACKH12,,ASEA,否,-0.09,-1.58,1.92,8.98,33.64,15.88,15.30,18.34,0.960,-9.53,64.0,0.754,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
3,東協,復華東協世紀基金,ACFH32,,ASEA,否,1.28,-1.30,-0.19,16.83,30.90,-16.36,15.55,15.35,0.670,-9.83,,0.716,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
