rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,distribution,daily_change,return_1m,return_3m,momentum_6m,return_1y,momentum_acceleration,benchmark_return_1y,excess_return_1y,sharpe,max_drawdown,recovery_days,score,signal,status,data_source,data_date
1,礦業,晉達環球策略基金-環球天然資源基金A累積股份,GSFF7,,PICK,否,-0.37,4.64,9.30,6.04,41.94,19.44,48.82,-6.88,0.620,-15.77,37.0,0.456,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,礦業,富蘭克林華美天然資源組合基金,ACFT10,,PICK,否,0.98,-3.68,-6.30,-1.66,26.53,4.80,2.61,23.92,0.280,-18.77,,0.450,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
3,礦業,復華全球原物料基金,ACFH26,,PICK,否,1.38,-9.21,-30.75,-8.22,19.77,-35.18,-6.21,25.98,0.180,-39.59,,0.213,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
