rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,distribution,daily_change,return_1m,return_3m,momentum_6m,return_1y,momentum_acceleration,benchmark_return_1y,excess_return_1y,sharpe,max_drawdown,recovery_days,score,signal,status,data_source,data_date
1,記憶體,國泰臺韓科技基金（記憶體供應鏈）,ACTR37,,SOXX,是（半年配）,1.61,13.10,0.03,76.30,188.60,-92.71,78.18,110.42,0.880,-31.35,,3.772,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
2,記憶體,街口中小型基金（記憶體供應鏈）,ACCH03,,SOXX,否,2.96,8.16,-2.77,67.59,163.73,-130.14,67.80,95.93,0.830,-35.29,,3.262,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
3,記憶體,街口台灣基金（記憶體供應鏈）,ACCH01,,SOXX,否,2.74,8.42,-4.63,65.79,157.84,-125.11,64.56,93.28,0.780,-37.12,,3.140,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
