rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,distribution,daily_change,return_1m,return_3m,momentum_6m,return_1y,momentum_acceleration,benchmark_return_1y,excess_return_1y,sharpe,max_drawdown,recovery_days,score,signal,status,data_source,data_date
1,巴西,元大巴西指數基金,ACKY35,,EWZ,否,1.56,1.77,9.68,0.81,36.24,10.90,11.92,24.32,0.400,-19.44,,0.597,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,巴西,野村巴西基金,ACIC29,,EWZ,否,1.75,0.25,6.57,-2.09,34.52,3.77,9.84,24.68,0.360,-21.10,,0.538,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
3,巴西,瀚亞巴西基金,ACCP32,,EWZ,否,1.76,1.25,7.04,-2.80,28.75,5.40,8.09,20.66,0.340,-20.78,,0.430,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
