rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,distribution,daily_change,return_1m,return_3m,momentum_6m,return_1y,momentum_acceleration,benchmark_return_1y,excess_return_1y,sharpe,max_drawdown,recovery_days,score,signal,status,data_source,data_date
1,印度,台新印度基金,ACTT13,,INDA,否,1.04,-0.17,-1.76,28.96,18.44,-26.74,12.78,5.66,0.210,-13.19,13.0,0.507,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,印度,群益大印度基金N類型(台幣),ACCA162,,INDA,否,0.34,-2.22,-3.42,15.35,3.67,5.16,1.62,2.05,0.060,-16.81,51.0,0.139,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
3,印度,瀚亞印度基金S配息(台幣)(本基金配息來源可能為本金),ACCP221,,INDA,是,0.62,-5.07,2.42,3.73,3.73,44.93,3.03,0.70,0.080,-8.82,26.0,0.054,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
