rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,distribution,return_1m,return_3m,return_1y,benchmark_return_1y,excess_return_1y,momentum_6m,sharpe,max_drawdown,recovery_days,score,signal,status,data_source,data_date
1,中國,摩根中國雙息平衡基金-月配型(台幣),ACJF132-8434,,MCHI,,-1.17,-2.17,10.12,1.71,8.41,-2.26,0.285,-8.20,,0.179,觀察,已更新（合庫 MoneyDJ 網頁爬蟲）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-21
2,中國,iShares MSCI China ETF,,MCHI,MCHI,是,4.33,0.12,-5.35,-5.35,0.00,-8.16,-0.251,-25.35,44,-0.312,賣出,已更新（Yahoo Finance）,Yahoo Finance,2026-08-24
3,中國,KraneShares CSI China Internet ETF,,KWEB,MCHI,是,1.48,-3.51,-23.86,-5.35,-18.51,-18.47,-0.930,-41.62,,-1.003,賣出,已更新（Yahoo Finance）,Yahoo Finance,2026-08-24
